"passage_number","passage","question_no","question","option_a","option_b","option_c","option_d","correct_answer"
2,null,11,"The above passage has been taken from which of the following recent cases relating to the Criminal Contempt of Court?","In Re: Prashant Bhushan & Anr.","The Registrar General, Supreme Court of India v. Prashant Bhushan & Anr.","Amicus Curiae v. Prashant Bhushan","Union of India v. Prashant Bhushan & Anr.","A"
2,null,12,"The Source of power of the Supreme Court to take suo-motu cognizance of Contempt of the Court has been provided under which of the following?","Section 15 of the Contempt of Courts Act, 1971.","Article 129 r/w Section 13 of the Contempt of Courts Act, 1971.","Article 129","Article 129 r/w Article 141.","C"
2,null,13,"Which of the following could be a valid defence for the contemnor in a contempt proceeding against him?","Statements are bona-fide fair criticism without attributing motives to the judges.","Statements are the personal opinion of the person and do not have the capacity to influence the thinking of public at large.","Statements are based on the quotes from retired judges of the Supreme Court.","Statements are mere opinions which does not fall under the category of the term 'scandalising the court.'","A"
2,null,14,"In which of the following cases, the apex court held that, 'Contempt jurisdiction should not be used by judges to uphold their own dignity...'?","Amicus Curiae v. Prashant Bhushan","P.N. Duda v. V. P. Shivshankar","A.K. Gopalan v. Noordeen","Hari Singh Nagra v. Kapil Sibal","B"
2,null,15,"Which of the following can be stated as not true about the intent of the contemnor as mentioned in the passage above?","He believes in the dignity and independence of judiciary and his act, further strengthens his belief.","His statements hold the sanctity of the institution to be of utmost importance and his actions will uphold the same.","He compares himself with the father of the nation Mahatma Gandhi and puts himself at the same pedestal.","His statements are criticism of an individual and not the institution itself and such criticism is quintessential for a healthy democracy.","C"
2,null,16,"A comparison of the Freedom of Speech and Expression between the text of Constitution of India and the U.S. Constitution may lead to many conclusions. Which of the following is not a conclusion of such a comparison?","The U.S. Constitution expressly mentions about the Freedom of Press but does not mention about the Freedom of Expression.","The Freedom of Press though not expressly mentioned under Article 19 (1) (a), it is implicit under the Freedom of Speech.","The idea of Freedom of Speech and Expression is much broader in India as compared to that in the U.S. Constitution.","The Freedom of Speech and Expression under both the constitutions is identical in terms of its extent.","C"
2,null,17,"Which of the following case is not related to the Contempt of Court as a restriction to the Freedom of Speech and Expression enshrined under Article 19 (1) (a)?","In Re Arundhati Roy, (2002) 3 SCC 343.","Hari Singh Nagra v. Kapil Sibal, AIR 2010 SC 55.","In Re Harijai Singh, (1996) 6 SCC 466.","Subramaniam Swamy v. UOI, (2016) 7 SCC 221.","D"
2,null,18,"In which of the following cases it was held that holding Dharna in front of Supreme Court in which lawyers too, take part is not by itself Contempt of Court if the access to the Court is not hindered?","Hiralal Dixit v. Union of India","J.R. Parashar v. Prashant Bhushan","Tarun Bharat Singh v. Union of India","P. N. Duda v. V. P. Shivshankar","B"
2,null,19,"Justice Krishna Iyer in (1) observed that normative guideline for Judges to observe in contempt jurisdiction is not to be (2) even where distortions and criticism oversteps the limitation.","(1) S. Mulgaokar, (2) hypersensitive","(1) Shamsher Singh, (2) provocative","(1) Hira Lal, (2) emotional","(1) Ediga Annama, (2) sensitive","A"
2,null,20,"Late Arun Jaitely, in Parliament had said that the Supreme Court is destroying the edifice of Parliament brick by brick... Are these statements Contempt of Court after the Prashant Bhushan 2020 judgment?","Yes, because MPs are also bound by Contempt law","No, because MPs are exempted from Contempt law.","Jaitely can't be punished as he is no more but the other member can be held liable.","No, because the statements made in Parliament are protected.","D"
3,null,21,"The above passage is from which of the following judgments?","Justice K. S. Puttaswamy (Retd.) v. Union of India, (2018) 10 SCC 1.","Justice K. S. Puttaswamy (Retd.) v. Union of India, (2017) 1 SCC 10.","Justice K. S. Puttaswamy (Retd.) v. Union of India, (2017) 10 SCC 1.","Justice K. S. Puttaswamy (Retd.) v. Union of India, (2018) 1 SCC 10.","C"
3,null,22,"Which of the following is directly related with the central idea of the passage mentioned above?","Right to Privacy of an individual, being part of the Right to Life.","The extent and scope of the 'ordered liberty' as a tenet of liberty under Article 21 of the Constitution.","Right to Life of an individual apart from mere animal existence.","All of the above","D"
3,null,23,"The above passage mentions, 'Every man's house is his castle.' Who amongst the following has stated this quote in the Semayne's Case?","Justice Rowland.","Justice Holmes.","Lord Justice A.W. Semens.","Justice Blackburn.","B"
3,null,24,"The above passage makes a mention of the judgment delivered by Justice Rajagopala Ayyangar. Which one of the following judgments is in context here?","Kharak Singh v. State of U.P.","M.P. Sharma v. Satish Chandra","Maneka Gandhi v. Union of India","Rustom Cavasji Cooper v. Union of India","A"
3,null,25,"Which of the following is not an interpretation of the Right to Privacy as explained by the Supreme Court in Puttaswamy judgment?","The destruction by the State of a sanctified personal space, of body and mind is violative of the guarantee against arbitrary state action.","The intersection between one’s mental integrity and privacy entitles the individual to the freedom of self-determination.","The privacy of an individual recognises an inviolable right to determine how freedom shall be exercised.","The guarantee of privacy is a guarantee against the arbitrary State action.","C"
3,null,26,"Which of the following is true in relation to the scope of the newly evolved 'Right to Privacy'?","The Right to Privacy cannot be denied, even if there is a miniscule fraction of the population which is affected.","The majoritarian concept applies to the Constitutional Rights and the Courts must adhere to the majoritarian view.","One's sexual orientation is undoubtedly not an attribute of privacy.","Right to Privacy is an unrestricted and inviolable right, outside the fetters of any State action.","A"
3,null,27,"In which of the following cases the Supreme Court held that, 'Sexual orientation is an attribute of privacy...'?","Justice K.S. Puttaswamy (Retd.) v. Union of India.","Navtej Singh Johar v. Union of India.","NALSA v. Union of India.","Suresh Kumar Koushal v. Naz Foundation.","A"
3,null,28,"Speaking for four of the nine judges, Justice D.Y. Chandrachud, observes, 'Individually, these information silos may seem inconsequential. In aggregation, they disclose the nature of the personality...' Which of the following is in context of the above statement?","Right to Privacy.","Informational/Data Privacy.","The Aadhaar Act, 2016.","None of the above.","B"
3,null,29,"Which of the following is not a tenet of the term 'Life' under Article 21 of the Constitution?","Right to Die with Dignity","Right to Live with Dignity","Freedom of Sexual Orientation","Right to Reputation","D"
3,null,30,"Recently, it has been reported that in Uttar Pradesh more than 50% of the people booked under the National Security Act were involved in cow slaughter. In Puttaswamy, which of the following judges has included food preferences in his judgment?","Justice D.Y. Chandrachud","Justice Dipak Misra","Justice R. F. Nariman","Justice Jasti Chelameshwar","D"
4,null,31,"The above passage has been taken from which of the following judgments, which decided the state of affairs relating to internet ban in Jammu & Kashmir?","Sita Ram Yechury v. Union of India","Anuradha Bhasin v. Union of India","In Re: State of Jammu & Kashmir","Bhim Singh v. State of Jammu & Kashmir","B"
4,null,32,"The above passage discusses about proportionality, in the context of which of the following issues?","The limitations of state action sanctioned under the Constitution.","The powers of the President under Article 370 of the Constitution.","The extent of restrictions to be imposed by the State on the exercise of Fundamental Rights.","The proportionality of powers and duties under the Constitution.","C"
4,null,33,"In the above passage, the Court expresses the limitations on application of 'All-or-nothing' approach to the fundamental rights. Which of the following statements truly explains such limitations?","The application of Part-III is subject to the interest of the majority and it overrides the rights of an individual.","The state may act in derogation of the Fundamental Rights of the people to achieve a higher public good and the social equilibrium.","The Fundamental Rights of citizens are secondary and the authority of State over its citizens is primary and of utmost importance.","The above approach is suitable only for the American Constitution as no limitation on rights is mentioned in the text of the Constitution.","B"
4,null,34,"In which of the following cases the Supreme Court held that Right to Access Internet is protected under Article 19 of the Indian Constitution?","Anuradha Bhasin v. Union of India.","Irtiqa Iqbal v. Union of India.","Kapil Sibal v. Union of India.","None of the above.","A"
4,null,35,"Which of the following State actions passes the 'Proportionality Test'?","A complete internet ban for indefinite period in a state effected by terrorism, insurgency and local militia.","A slowdown of the internet speed in a State, affecting the Right of Free speech and expression and trade, business and occupation.","House arrest of eminent political leaders for an indefinite period.","A complete lockdown in an area effected by militant attacks for an indefinite period.","B"
4,null,36,"Which of the following is not an essential validating the restrictions imposed upon the exercise of Fundamental Rights?","Legality, which postulates the existence of law which is enacted to restrict the application of Fundamental Rights.","Need, defined in terms of a legitimate State aim.","Proportionality, which ensures a rational nexus between the objects and the means adopted to achieve them.","Consequence, which the restriction would ensue after its application.","D"
4,null,37,"The Right to Access to the internet is useful for exercising which of the following Fundamental Rights?","Freedom of Speech and Expression.","Right to carry out trade, business and occupation.","Right to Life.","All of the above.","D"
4,null,38,"Who amongst the following can order for suspension of telecom services in a state under the Temporary Suspension of Telecom Services (Public Emergency or Public Safety) Rules, 2017?","The Secretary to the Government of India in the Ministry of Home Affairs.","The Secretary to the Government of India in the Ministry of Information and Broadcasting.","A District Magistrate, exercising his powers under S.144 of the Cr. P. C.","The Chief Secretary to the Government of State in the Ministry of Home Affairs.","A"
4,null,39,"Which of the following was true prior to 5th August, 2019 in relation to power of the Parliament under Article 3 of the Constitution for the State of Jammu & Kashmir?","Any Bill to alter the boundaries of the State shall be introduced in the Parliament after the recommendation of the Governor of the State.","No Bill can be introduced in the Parliament for the alteration of the boundaries of the State without the consent of the Legislature of the State.","No Bill can be introduced in the Parliament for the alteration of the boundaries of the State without the consent of the Constituent Assembly of the State.","No Bill can be introduced in the Parliament for the alteration of the boundaries of the State without the consent of the President.","B"
4,null,40,"Which of the following is not true in relation to the Jammu and Kashmir Reorganisation Act, 2019?","The Act has amended Schedule 1 of the Constitution.","The Act has amended Article 4 of the Constitution.","The Act has amended Schedule 4 of the Constitution.","None of the above.","B"
5,null,41,"Which of the following statements cannot be identified as a limitation upon the Doctrine of Legitimate Expectation?","The concept of Legitimate Expectation is only procedural and has no substantive impact.","The doctrine does not apply to legislative activities.","The doctrine does not apply if it is contrary to Public Policy or against the Security of State.","There are parallels between the Doctrine of Legitimate Expectation and Promissory Estoppel.","A"
5,null,42,"Which of the following is not true in relation to the Doctrine of Legitimate Expectation as observed by the Supreme Court in 'Monnet Ispat & Energy Ltd. v. Union of India'?","The Doctrine of Legitimate Expectation cannot be invoked as a substantive and enforceable right.","The Legitimate Expectation is different from anticipation and an anticipation cannot amount to an assertable expectation.","The Doctrine fails where an overriding public interest justifies the change in Administrative Policy.","The Doctrine of Legitimate Expectation is founded on the principles of reasonableness and fairness.","A"
5,null,43,"Which of the following cases can be traced as the origin of the Doctrine of Legitimate Expectation?","Attorney General of Hong Kong v. Ng Yeun Shiu, (1983) 2 AC 629.","Schmidt v. Secy. Of State for Home Affairs, (1969) 2 Ch 149 (CA).","Food Corporation of India v. Kamdhenu Cattle Feed Industries, AIR 1993 SC 1601.","Breen v. Amalgamated Engg. Union, (1971) 2 WLR 742.","B"
5,null,44,"Which of the following is not a ground for judicial review of a discretionary action of an Administrative Authority in India?","Failure to exercise discretion","Excess or abuse of discretion","A breach of rules of Natural Justice","None of the above","A"
5,null,45,"Which of the following statement is true in relation to 'Empty formality' theory of the Principle of Natural Justice?","The plea for not following the Principle of Natural Justice is not sustainable on the grounds of Empty Formality.","The plea for not following the Principle of Natural Justice is sustainable on the grounds of Empty Formality.","The Empty Formality affords a legitimate ground for the avoidance of Principle of Natural Justice.","Both options (b) & (c) are correct.","B"
5,null,46,"What is the meaning of a writ of 'Certiorarified mandamus'?","A writ of Mandamus, issued against an adjudicating body to quash a decision.","A writ of Certiorari issued to an administrative body to quash its decision.","A simultaneous writ to quash a decision and also to give a direction.","A simultaneous writ to quash a direction and give a decision.","C"
5,null,47,"Which of the following is not a ground for holding a Delegated Legislation as invalid?","Parent Act delegates non-essential legislative functions.","Delegated legislation is inconsistent with the general law.","Parent Act itself is unconstitutional.","Delegated legislation is inconsistent with the Parent Act.","A"
5,null,48,"In which of the following cases, Hegde J observed that, 'Whenever a complaint is made before a court that some Principle of Natural Justice had been contravened, the court had to decide whether the observance of that rule was necessary for a just decision on the facts of that case.'?","A.K. Kraipak v. Union of India","Maneka Gandhi v. Union of India","Union of India v. P.K. Roy","Dharampal Satyapal Ltd. v. CCE","A"
5,null,49,"Which of the following is not an essential condition before pressing the Doctrine of Estoppel into service or benefit contract?","A representation or conduct amounting to representation have been made.","He must have acted to his detriment or suffered as a result of such representation.","The other party to whom representation was made must have acted upon such representation.","The representation must have been made with the intention of not fulfilling it.","D"
5,null,50,"Suppose, students filled up JEE Mains form for 2020. Due to repeated postponements of JEE, IIT Kharagpur decided to opt out of JEE mains and conducted its own separate Test. On which of the following grounds the decision of IIT Kharagpur can be challenged?","Procedural fairness","Legitimate expectation","Manifest arbitrariness","IIT Kharagpur's decision cannot be challenged as it was taken in the interest of the students.","B"
6,null,51,"Consider the following statements: 1. CJI is the boss of High Court Judges 2. CJI is superior to other Judges of the Supreme Court 3. CJI and other four members of Collegium for appointment of Judges in Supreme Court are equal 4. Chief Justice is one amongst equals and vested with many administrative powers. Which of the statement given above is / are correct?","1 and 3 only","2 and 3 only","3 only","1, 2, and 4 only","C"
6,null,52,"Consider the following statements: 1. A Bench of the Supreme Court must follow a decision delivered by a Bench of a larger or even equal strength. 2. In case of inability to agree, the only option available is to refer the matter to the CJI, requesting that a larger Bench be constituted to resolve the conflict. 3. This basic principle was laid down by Supreme Court in Central Board of Dawoodi Bohra Community vs State Of Maharashtra & Anr (December 17, 2004). Which of the statement given above is / are correct?","1 and 3 only","1 and 2 only","3 only","1, 2 and 3","D"
6,null,53,"Consider the following statements: 1. The Constitution does not make CJI the 'Master of Roster' 2. The Supreme Court Rules vests in CJI the power of the 'Master of Roster' 3. The Constitution of India read with Supreme Court Rules vests in CJI the Power of the 'Master of Rolls' 4. The Power is neither given by the Constitution not by the Supreme Court Rules. It's just a convention. Which of the statement given above is / are correct?","1 and 3 only","2 only","3 and 4 only","1, 3 only","B"
6,null,54,"Consider the following statements: 1) A judge of Supreme Court can be removed from his office by the Parliament. 2) A judge of Supreme Court can be impeached from his office by the President on the recommendation of Chief Justice of India. 3) The removal of Supreme Court judge is based on two grounds - proved misbehaviour or incapacity to act. Which of the statement given above is / are correct?","1 and 2 only","2 and 3 only","3 only","1, 2 and 3","C"
6,null,55,"Accountability makes the exercise of power more efficient and effective. The ancient Greek historian Herodotus said: 'The Greeks though free [were] not absolutely free; they [had] a master called the law.' Which of the following statement correctly describes the law?","CJI as Master of Rolls is not bound by any law.","CJI is bound by the conventions mentioned in the passage above.","CJI in his administrative capacity is bound by law.","CJI as Master of Roster must act fairly, justly and in non-arbitrary manner.","D"
6,null,56,"Supreme Court Rules framed under Article 145 of the Constitution provide CJI as the Master of Rolls. These rules—","Cannot be challenged as per Justice Dinakaran Judgment","Can be challenged before the President of India who is the appointing authority of CJI and other Judges","Rules made by the Court violative of Fundamental Rights may be struck down as ultra vires the Constitution as per Prem Chand Garg (1963) judgment of the Supreme Court.","Supreme Court is supreme and no authority can question it.","C"
6,null,57,"In S. P. Gupta v. Union of India, it was held that the word 'Consultation' means:","Discussion","Ascertainment of opinion","Concurrence","Advice","B"
6,null,58,"Per Incuriam means:","Judgment given against law","Judgment given contrary to people's conscience","Judgment given contrary to natural law","All of the above","A"
6,null,59,"In which of the following cases, Supreme Court held that 'Chief Justice is an institution himself'?","Kamini Jaiswal v. Union of India","Asok Pande v. Union of India","S.P. Gupta v. Union of India","Prashant Bhushan v. Union of India","B"
6,null,60,"In which of the following cases, Chief Justice was held to be as 'Master of Roster', who alone has prerogative to constitute bench?","Prakash Chandra v. Union of India (UOI) through Secretary to the Government of India","S P Gupta v. Union of India","Third Judges Case","Justice C. S. Karnan v. The Hon’ble Supreme Court of India","A"
7,null,61,"The Government of Uttar Pradesh and many other state governments promulgated Ordinances for Temporary Exemption from Certain Labour Laws that would suspend the operation of all labour laws applicable to factories and manufacturing establishments in their respective state for a period of three years, with the exception of:","Bonded Labour System (Abolition) Act, 1976","Employees’ Compensation Act, 1923","The Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act, 1996","All the above","D"
7,null,62,"On which of the following areas, Central Government is exclusively competent to enact legislations?","Trade unions; industrial and labour disputes.","Social security and social insurance; employment and unemployment.","Welfare of labour including conditions of work, provident funds, employers’ liability, workmen’s compensation, invalidity and old age pensions and maternity benefits.","Regulation of labour and safety in mines and oilfields.","D"
7,null,63,"Which of the following laws has been enacted to prevent exploitation of inter-state migrant workers and, to ensure fair and decent conditions of employment for them?","The Inter-State Migrant Workmen Act, 1979","Contract Labour (Regulation and Abolition) Act, 1970","Bonded Labour System (Abolition) Act, 1976","Migrant Workers (Protection) Act, 1979","A"
7,null,64,"The Employees’ State Insurance Act, 1948 protects the interest of workers in contingencies such as — I. Sickness II. Maternity, III. Temporary or permanent physical disablement, IV. Death due to employment injury resulting in loss of wages or earning capacity. Select the correct answer from the codes given below:","I only","II only","I, III and IV","I, II, III and IV","D"
7,null,65,"As per the provisions contained in Chapter VB of the Industrial Dispute Act, 1947 establishment employing _____________ persons or more are required to seek prior permission of Appropriate Government before effecting lay-off, retrenchment and closure.","50","100","250","500","B"
7,null,66,"‘First come last go and last come first go’ is the principle of:","Lay-off","Closure","Retrenchment","Dismissal","C"
7,null,67,"Which of the following is an illegal industrial action as per law?","Mutual Insurance","Collective Bargaining","Lock out","Gherao","D"
7,null,68,"Choose the correct objective of the Industrial Disputes Act, 1947.","To prevent illegal strikes","To promote measures for securing and preserving good relations between the employers and the employees","To provide relief to workmen in matters of lay-off, retrenchment, wrongful dismissals","All of the above","D"
7,null,69,"Contract Labour (Regulation and Abolition) Act, 1970 applies to every establishment/contractor in which ____________ workmen are employed or were employed on any day of the preceding twelve months as contract labour.","Ten or more","Fifteen","Twenty or more","Twenty-five or more","C"
7,null,70,"The Contract Labour (Regulation and Abolition) Act, 1970 shall not apply to establishments in which work is of:","An intermittent or casual nature","In nature of Permanent work","Both a) and b)","None of the above.","A"
8,null,71,"The boundary wall surrounding A’s property was broken which caused a number of villagers to cross through his property to reach the adjoining market. A repaired the wall and stopped the villagers. What was the nature of legal relationship?","Liberty-no right","Claim-duty","Immunity-disability","Power-liability","A"
8,null,72,"‘A’ does not repair the boundary wall for more than twenty-five years and does not stop the villagers from crossing his property. Now the villagers have:","An immunity","A claim","A power","A liberty","B"
8,null,73,"After changing her religion, an adult medical student Bareta got married to a man of her choice. The medical student’s right to marry was:","A claim","A liberty","A power","A liability","A"
8,null,74,"The situation for Bareta would change if she were a minor. Her minority would impact on her:","Claim","Liberty","Power","Immunity","C"
8,null,75,"Article 21 of the Constitution of India lays down that no person can be denied life and liberty except according to procedure established by law. By reason of this article, the State cannot deny liberty through executive order. What does the Article impose on the State?","Duty","Liability","Disability","No Right","C"
8,null,76,"A person can be taken into custody only if there is a legislation specifying a procedure which allows the deprivation of liberty. This protection from wrongful arrest granted to people is:","An immunity","A liberty","A disability","A power","A"
8,null,77,"The Civil Procedure Code lays down the conditions that have to be fulfilled before a Plaint can be filed or defended. These conditions impact on the individual’s:","Claim","Power","Disability","Liability","B"
8,null,78,"As a rule, only States can move international institutions for the enforcement of their rights. Special requirements have to be fulfilled before individuals can move international institutions. These requirements impact on the __________ of individuals to obtain their rights.","Liberty","Power","Claim","Immunity","B"
8,null,79,"When A enters into a contract with B, then the rights A has under the contract are:","In personam","In rem","Both (a) and (b)","None of the above","A"
8,null,80,"Recognition of the Right to Privacy by the Indian Supreme Court has:","Converted a liberty into a claim right.","Placed a duty on the State to protect the right.","Prevented the State from undertaking any activity which intruded on the privacy of the people.","All of the above","D"
9,null,81,"Habermas is a:","German Philosopher","French Philosopher","Western Social Scientist","English Jurist","A"
9,null,82,"For Hobbes, the key tenet of his philosophy is:","Natural law is necessary for a good positive law and they are not identical in content.","Natural law is not necessary for a good positive law, though they are identical in content.","Natural law is necessary for a good positive law, and they are identical in content but differ in form.","Natural law is necessary for a good positive law but they differ in both form and content.","C"
9,null,83,"Which of the following words has been replaced by ‘[1]’ in the above paragraph?","Culture","Ethics","Morality","None of the above.","C"
9,null,84,"Which one of the following statements, correctly conveys the Fuller’s Inner Morality of Law?","Every piece of Law, in order to be valid, must fulfil minimum moral standard comprising of certain procedural requirements like generality, Prospectively promulgation, intelligibility and consistency.","The contents of every law in order to be valid must be mere minimum moral standard without anything more.","The question of morality of every law is a matter for the inner conscience of the legislators and judges have nothing to do with it.","The question of morality of law is not for the courts to determine.","A"
9,null,85,"In which of the following cases, the Supreme Court of India remarked, ‘Whenever the Court is entering into a new territory and is developing a new legal norm, discussion of normative jurisprudence assumes greater significance...’?","Common Cause v. Union of India (2018)","Bhupinder Singh v. State of H. P (2011)","Kumar v. State of T. N (2013)","Gargi v. State of Haryana (2019)","A"
9,null,86,"Out of the following jurists, whose theory has earned the name of ‘Natural Law with a Variable Content’?","St. Thomas Aquinas","John Locke","Hobbes","R. Stammler","D"
9,null,87,"Which of the following philosophers gave the theory of ‘Communicative Action’?","Habermas","John Locke","Savigny","Lon L. Fuller","A"
9,null,88,"According to Habermas, the existence and legitimacy of Positive Laws hinges upon which of the following?","Morality","Publication of Laws","Rational Democratic Process","Judicial recognition","C"
9,null,89,"Positive Law is called ‘Positive’ because:","It is made as a result of divine providence","It is made as a result of collective positive action","It is made by person in authority","It is followed by everybody","C"
9,null,90,"Positivists were romanticists because:","They were running away from the realities of post-industrial Britain.","They were not imagining a perfectly ordered society.","They were depicting the state of law and order of contemporary Britain.","None of the above.","A"
10,null,91,"Which of the following reformed Criminal Law?","Malimath Committee","Justice M. N. Venkatachaliah Committee","52nd Law Commission Report","All of the above.","A"
10,null,92,"Under Indian Penal code ‘Culpable homicide’ is first defined, but ‘homicide’ is not defined at all. ‘Culpable homicide’, the genus, and ‘Murder’, the species, are defined in terms so closely that it is difficult to distinguish them. The distinction between ‘Culpable homicide’ and ‘Murder’ was criticised as the ‘weakest part of the code’ by-","Glanville Williams","James Stephen","Jeremy Bentham","Smith & Hogan","B"
10,null,93,"Lately Indian Criminal Law has been moving away from the above mentioned classical Principles of Criminal Law. Which one of the following does not demonstrate this shift?","Creation of new crimes.","Shift in Burden of Proof","Presumption of Guilt","Broader definitions of crimes","A"
10,null,94,"The accused must be given death penalty to satisfy the ‘collective conscience of the society’. Is this the correct method of determining sentence?","Yes","No","Yes, in Terror and Sedition Cases","No, as what others think is irrelevant in deciding punishment","D"
10,null,95,"In determining the sentence, which of following factors are to be taken into consideration?","Aggravating Factors","Mitigating Factors","Both Aggravating & Mitigating Factors","Collective Conscience of the Society","C"
10,null,96,"The Supreme Court itself admitted in Santosh Kumar Bariyar (2009) that death penalty is imposed ‘arbitrarily or freakishly’. The court made a candid admission in saying that ‘there is no uniformity of precedents’. In Sangeet (2013), the Court yet again acknowledged that ‘principled sentencing’ has become ‘judge centric’. In Swami Shraddhananda (2008), the Court said, award of death sentence depends on the ‘personal predilection of judges’ and there is ‘lack of uniformity’ in capital punishment. Which of the following statements is correct?","Award of Death Penalty depends on law and is given in rarest of rare cases.","Award of Death Penalty depends on personal ideologies of judges.","(a) & (b) both are correct.","(a) is wrong.","B"
10,null,97,"In Machhi Singh (1983) a three judge bench listed five parameters to decide whether case falls within ‘rarest of rare’ such as the manner of commission of crime i.e. brutality, motive, anti-social or abhorrent nature of crime, magnitude of crime and personality of victim i.e. child, women or leader loved by people etc. Which parameter laid down by the constitution bench in Bachan Singh was left out?","Too much importance was given to ‘Crime’ but ‘Criminal’ was left out.","Impact on society","Intent","Weapons used in the commission of crime","A"
10,null,98,"Who had said that ‘The Indian Penal Code is to the English criminal law what a manufactured article ready for use is to the materials out of which it is made...’?","Lord Macaulay","James Stephen","Hari Singh Gaur","Justice Krishna Iyer","B"
10,null,99,"Justice Fitzgerald observed: ‘The law of conspiracy is a branch of our jurisprudence to be narrowly watched, to be zealously regarded and never to be pressed beyond its true limits.’ Under Section 149, mere membership of the assembly without any participation in the crime is sufficient. In the light of this statement, whether punishment of conspiracy by mere agreement and under Section 149 by mere presence be deleted from the IPC?","Yes, if we believe in liberal and enlightened criminal jurisprudence","No, if we are status quoist","No, Conspiracy must remain punishable by mere agreement","No, mere presence should be enough","A"
10,null,100,"Criminal Law Revision must reflect-","Deterrent theory with the aim to prevent crime.","Retributive theory consistent with the scheme of victim compensation.","Reformative theory consistent with democratic values and civil liberties","None of the above.","C"
11,null,101,"The name of which of the following judgments has been replaced by ‘[1]’ in the passage above?","Rukia Khatun v. Abdul Khalique Laskar","Shamim Ara v. State of UP and Another","Fuzlunbi v. K Khader Vali and Another","Mohd. Ahmad Khan v. Shah Bano Begum","B"
11,null,102,"Which of the following legislations has been replaced by ‘[2]’ in the passage above?","The Muslim Personal Law (Shariat) Application Act, 1937","Special Marriage Act of 1872","The Muslim Women (Protection of Rights on Divorce) Act 1986","The Muslim Women (Protection of Rights on Marriage) Act, 2019","A"
11,null,103,"The Supreme Court constitution bench led by Chief Justice J. S. Khehar gave a landmark judgement in Shayara bano v. Union of India. Consider the following statements... Select the correct statements about judgement:","1 & 2 are correct","1, 2 & 3 are correct","1, 2 & 4 are correct","All are correct","B"
11,null,104,"Which one of the following is not correctly matched?","Only 1","1 and 2","3 and 4","1, 2 and 3","A"
11,null,105,"In which one of the following cases, the proposition was laid down that Personal Laws are beyond the pale of the Fundamental Rights Chapter of the Constitution and hence cannot be struck down by this Court?","State of Bombay v. Narasu Appa Mali","Mohd. Ahmad Khan v. Shah Bano Begum","Daniel Latifi v. Union of India","Sarla Mudgal v. Union of India","A"
