"case_number","case_name","passage","case_question_id","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-01","In light of the above passage, which of the following best captures the ratio of the decision?","ED cannot summon a person outside their state of residence.","The PMLA, being a special law, overrides the CrPC in case of conflict.","Section 50 of PMLA is unconstitutional for violating Article 20(3).","All proceedings under PMLA must follow CrPC procedures.","(B)","The Court reaffirmed that the PMLA is a special law with overriding effect (Sections 65 & 71) and hence prevails over CrPC provisions in case of inconsistency."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-02","Which of the following provisions gives the PMLA an overriding effect over other laws?","Section 50","Section 65","Section 71","Section 3","(C)","Section 71 expressly provides that PMLA shall have effect “notwithstanding anything inconsistent therewith contained in any other law.”"
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-03","Consider the following statements:
 i. PMLA proceedings are investigative in nature, not criminal trials.
 ii. Article 20(3) applies to all stages of inquiry under PMLA.
 iii. ED officers under PMLA exercise police powers under CrPC.
 Which of the above is/are correct?","i only","ii and iii only","i and iii only","All of the above","(A)","Section 50 inquiries are investigative and administrative, not criminal prosecutions. Hence, Article 20(3) is not attracted at this stage."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-04","The principle that “special law overrides general law” was applied by the Court using which Latin maxim?","Lex posterior derogat priori","Generalia specialibus non derogant","Lex non cogit ad impossibilia","Expressio unius est exclusio alterius","(B)","The maxim generalia specialibus non derogant means general laws yield to special laws — thus, PMLA prevails over CrPC."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-05","The petitioners claimed that the ED’s summons violated which constitutional rights?","Article 14 and Article 19(1)(a)","Article 20(3) and Article 21","Article 19(1)(g) and Article 32","Article 15 and Article 22","(B)","Petitioners argued violation of right against self-incrimination (Article 20(3)) and right to personal liberty (Article 21)."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-06","Which precedent did the Supreme Court rely upon to affirm that PMLA is a self-contained code overriding CrPC?","Tofan Singh v. State of Tamil Nadu","Nikesh Tarachand Shah v. Union of India","Vijay Madanlal Choudhary v. Union of India","Puttaswamy v. Union of India","(C)","In Vijay Madanlal Choudhary (2022), the Court held that PMLA is a complete code that overrides the CrPC to ensure effective control of money-laundering."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-07","According to the Court, the protection under Article 20(3) against self-incrimination—","applies to every person summoned under Section 50.","applies only after formal accusation or trial begins.","applies to all stages of ED inquiry.","restricts ED from recording statements.","(B)","Article 20(3) applies only to an accused in a criminal proceeding, not to those merely summoned for preliminary inquiries."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-08","Which of the following statements correctly differentiates ED officers under the PMLA from police officers under the CrPC?","ED officers can arrest without warrant in all cases.","ED officers act as civil investigators, not as police under CrPC.","ED officers have identical powers to police.","ED officers need a magistrate’s order for every summons.","(B)","The Court clarified that ED officers are administrative investigators acting under a special statute — they are not “police officers” as per CrPC."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-09","The judgment in Abhishek Banerjee primarily reinforces which legal doctrine?","Doctrine of proportionality","Doctrine of colourable legislation","Doctrine of special law prevailing over general law","Doctrine of legitimate expectation","(C)","The Court’s central holding applied the doctrine of special law prevailing over general law, confirming that PMLA supersedes CrPC where inconsistent."
"CQ-24-02","Abhishek Banerjee & Anr. v. Directorate of Enforcement (2024)","The Supreme Court dealt with whether the Enforcement Directorate (ED) can summon individuals under Section 50 of the Prevention of Money Laundering Act, 2002 (PMLA) beyond their territorial jurisdiction. The petitioners argued that such summons violated Articles 20(3) and 21, and must comply with CrPC procedures. The Court dismissed these arguments, holding that the PMLA is a self-contained, special statute that overrides CrPC wherever inconsistent (Sections 65 and 71). It reaffirmed the validity of ED’s powers and upheld that such inquiries are administrative, not criminal trials.","CQ-24-02-10","The significance of the decision lies in the fact that it—","limits ED’s jurisdiction to the accused’s state of residence.","strengthens ED’s investigative powers and clarifies its independence from CrPC.","subjects PMLA summons to Section 160 CrPC.","declares PMLA unconstitutional for violating equality.","(B)","The Court upheld pan-India summons powers of the ED, confirming that PMLA inquiries operate independently of CrPC restrictions, thereby enhancing the agency’s investigative autonomy."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-01","Which constitutional principle underlies the Supreme Court’s decision to quash the FIR in Achin Gupta?","Rule of law and due process under Articles 14 & 21","Judicial immunity and separation of powers","Parliamentary supremacy","Federalism and decentralisation","(A)","The Court reaffirmed that arbitrary or mala fide prosecution violates Articles 14 and 21, which together ensure fair procedure and protection from abuse of legal power."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-02","Under which provision does the High Court exercise inherent power to prevent abuse of process of law?","Article 136 of the Constitution","Section 482 of the CrPC","Article 226 of the Constitution","Section 320 of the CrPC","(B)","Section 482 CrPC preserves the inherent powers of the High Court to quash criminal proceedings to prevent injustice or misuse of the judicial process."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-03","Which earlier Supreme Court case laid down the illustrative conditions where an FIR may be quashed under Section 482 CrPC?","State of Haryana v. Bhajan Lal (1992)","Lalita Kumari v. State of UP (2014)","State of West Bengal v. CPDR (2010)","Arnesh Kumar v. State of Bihar (2014)","(A)","The Bhajan Lal guidelines remain the foundational precedent for quashing FIRs under Section 482 CrPC, identifying circumstances of mala fide or abuse of process."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-04","The doctrine against misuse of criminal process primarily flows from which constitutional principle?","Principle of separation of powers","Principle of manifest arbitrariness","Principle of proportionality","Doctrine of colourable legislation","(B)","The Court relied on manifest arbitrariness, evolved in Shayara Bano v. Union of India (2017), holding that unfair or irrational prosecutions violate the constitutional guarantee of equality."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-05","Which landmark case constitutionally anchors the “fair, just, and reasonable” procedure doctrine used in Achin Gupta?","A.K. Gopalan v. State of Madras (1950)","Maneka Gandhi v. Union of India (1978)","ADM Jabalpur v. Shivkant Shukla (1976)","Sunil Batra v. Delhi Administration (1978)","(B)","In Maneka Gandhi, the Court expanded Article 21 to include fairness and reasonableness as essential components of due process — principles reiterated in Achin Gupta."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-06","Which of the following judgments warned against misuse of Section 498A IPC in matrimonial disputes?","Preeti Gupta v. State of Jharkhand (2010)","Arnesh Kumar v. State of Bihar (2014)","Rajesh Sharma v. State of UP (2017)","All of the above","(D)","All three cases cautioned against misuse of Section 498A, directing courts to ensure genuine cases are prosecuted while preventing harassment of innocent family members."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-07","The Achin Gupta ruling emphasised proportionality between individual liberty and legitimate state action. Which of the following cases first constitutionalised the doctrine of proportionality in India?","Modern Dental College v. State of MP (2016)","K.S. Puttaswamy v. Union of India (2017)","Anuradha Bhasin v. Union of India (2020)","Om Kumar v. Union of India (2001)","(D)","Om Kumar introduced the doctrine of proportionality into Indian constitutional law, requiring that state actions be balanced and non-arbitrary — reflected in Achin Gupta."
"CQ-24-03","Achin Gupta v. State of Haryana & Ors. (2024)","The Supreme Court in Achin Gupta v. State of Haryana & Ors. (2024) examined misuse of criminal proceedings in matrimonial disputes. The appellant argued that the FIR under Sections 498A, 406, 323, and 506 IPC was filed as a counterblast to divorce proceedings, containing vague and mala fide allegations. Invoking its inherent powers under Section 482 CrPC, the Court quashed the proceedings, stressing that the criminal process should not be weaponized for harassment.
 The Court reiterated that fairness and reasonableness in prosecution are part of Article 14 (equality) and Article 21 (personal liberty) — principles central to the rule of law.","CQ-24-03-08","The inherent judicial power to quash frivolous criminal proceedings stems from the judiciary’s duty to—","Enforce executive accountability","Ensure access to justice and prevent abuse of law","Oversee legislative drafting","Supervise subordinate judiciary","(B)","The inherent jurisdiction under Section 482 CrPC ensures access to justice and empowers courts to prevent misuse of criminal law for private vendettas."
